ReadTime,Usage(kwh),Hourly Temperature
"24:00","15.318","73.0"
"23:00","4.107","73.0"
"22:00","3.776","77.0"
"21:00","3.199","77.0"
"20:00","3.398","77.0"
"19:00","3.414","79.0"
"18:00","5.143","79.0"
"17:00","7.372","79.0"
"16:00","4.091","90.0"
"15:00","4.015","89.0"
"14:00","2.797","89.0"
"13:00","1.783","90.0"
"12:00","1.983","87.0"
"11:00","2.205","86.0"
"10:00","1.723","82.0"
"09:00","3.952","80.0"
"08:00","2.529","76.0"
"07:00","2.843","74.0"
"06:00","1.203","74.0"
"05:00","0.897","73.0"
"04:00","2.447","75.0"
"03:00","0.872","74.0"
"02:00","2.599","74.0"
"01:00","1.171","74.0"
